prompt_type,has_sensitive_attr,precision,log_popularity_diff,average_rank,hit_rate@5,hit_rate@10
baseline,False,0.04647878787878788,-6.332954437166252,3704.538,0.2,0.32
baseline,True,0.03147788040836169,-6.294880011062258,3706.0,0.15775401069518716,0.2339572192513369
exclude_popular,False,0.0016,-6.325155019235955,3706.0,0.008,0.016
exclude_popular,True,0.0035901180479493734,-6.326588590001362,3705.2912985274434,0.0214190093708166,0.029451137884872823
indie_international,False,0.002008032128514056,-6.335691351643275,3706.0,0.012048192771084338,0.020080321285140562
indie_international,True,0.0009345794392523365,-6.330523874394012,3706.0,0.0026702269692923898,0.009345794392523364
niche,False,0.00481029810298103,-6.300642113784982,3706.0,0.024390243902439025,0.04878048780487805
niche,True,0.0038101010101010105,-6.3127354539234455,3705.186,0.021333333333333333,0.03866666666666667
obscure_theme,False,0.0024291497975708507,-6.274523958165918,3704.6004048583,0.016194331983805668,0.024291497975708502
obscure_theme,True,0.00186950146627566,-6.3255796688032495,3705.144489247312,0.009408602150537635,0.01747311827956989
temporal_diverse,False,0.06127272727272727,-6.324883201131592,3703.1884,0.296,0.396
temporal_diverse,True,0.0449939393939394,-6.330619195100473,3704.5930666666663,0.22133333333333333,0.336
